Aug 13 14:35:23.388 HYPERVISOR: Release 0.2.17-x86/Windows (tag 2017072410)
Aug 13 14:35:23.403 HYPERVISOR: Started on IP = 127.0.0.1, TCP port = 57291.
Aug 13 14:35:23.630 HYPERVISOR: exec_cmd: hypervisor version 
Aug 13 14:35:23.630 HYPERVISOR: exec_cmd: hypervisor working_dir C:\Users\freet\Desktop\poftfolio\project-files\dynamips 
Aug 13 14:35:38.584 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 1 
Aug 13 14:35:38.645 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-30e52f03-a983-4c07-a0be-c70d97948a8a 1 
Aug 13 14:35:38.663 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d3fabf06-9492-48ed-8b9a-08f48e2c7462 1 
Aug 13 14:35:38.729 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-0f21b298-a48f-457a-a1aa-e47a450465f7 1 
Aug 13 14:35:38.759 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-ba33e68b-efe2-4789-acf4-81fbe61f0742 1 
Aug 13 14:35:57.222 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d8e72132-77fa-4e17-a197-db33c644aa43 1 
Aug 13 14:35:57.222 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 1 
Aug 13 14:35:57.222 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 1 
Aug 13 14:35:57.222 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-30e52f03-a983-4c07-a0be-c70d97948a8a 1 
Aug 13 14:35:57.222 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d3fabf06-9492-48ed-8b9a-08f48e2c7462 1 
Aug 13 14:35:57.255 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-0f21b298-a48f-457a-a1aa-e47a450465f7 1 
Aug 13 14:35:57.286 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-ba33e68b-efe2-4789-acf4-81fbe61f0742 1 
Aug 13 14:35:58.034 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d8e72132-77fa-4e17-a197-db33c644aa43 1 
Aug 13 14:35:58.034 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 1 
Aug 13 14:35:58.034 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 1 
Aug 13 14:35:58.034 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-30e52f03-a983-4c07-a0be-c70d97948a8a 1 
Aug 13 14:35:58.065 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d3fabf06-9492-48ed-8b9a-08f48e2c7462 1 
Aug 13 14:35:58.065 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-0f21b298-a48f-457a-a1aa-e47a450465f7 1 
Aug 13 14:35:58.097 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-ba33e68b-efe2-4789-acf4-81fbe61f0742 1 
Aug 13 14:36:02.314 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d8e72132-77fa-4e17-a197-db33c644aa43 1 
Aug 13 14:36:02.327 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 1 
Aug 13 14:36:02.327 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 1 
Aug 13 14:36:02.330 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-30e52f03-a983-4c07-a0be-c70d97948a8a 1 
Aug 13 14:36:02.331 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d3fabf06-9492-48ed-8b9a-08f48e2c7462 1 
Aug 13 14:36:02.362 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-0f21b298-a48f-457a-a1aa-e47a450465f7 1 
Aug 13 14:36:02.378 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-ba33e68b-efe2-4789-acf4-81fbe61f0742 1 
Aug 13 14:36:25.933 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d8e72132-77fa-4e17-a197-db33c644aa43 1 
Aug 13 14:36:25.933 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 1 
